Identifier	Character	Dialogue	Filename	Line Number
introduction_2d44c35a		We broke down a few miles outside of a small, backwater town in the middle of nowhere. I was asleep when it happened.	game/script.rpy	47
introduction_ff9ab9a2		We had to push the damn thing all the way into town. It was hot, dusty, and way too bright for someone who had just woken up in the back of an RV.	game/script.rpy	48
introduction_a5cad58d		Norman took it in stride, as he does with most things. To him, a breakdown is just another adventure on the road trip. He’s always had that optimism.	game/script.rpy	49
introduction_d9857bb2		His chipper demeanor faded into something of confusion once he popped the hood and immediately saw why the van was no longer running.	game/script.rpy	50
introduction_804b9421		The entire thing was overgrown with plant life.	game/script.rpy	51
introduction_c00913c7		Right now, the van is sitting on Main Street, along with me and Norman, drenched in sweat. The sun is high in the sky and beating down hard.	game/script.rpy	54
introduction_6e55f392		Norman turns to me, a smile on his face in spite of his clear exhaustion, and breathes in relief.	game/script.rpy	55
introduction_7f518341	n	"Are you as hungry as I am right now?"	game/script.rpy	58
introduction_197cbcc7		I am pretty hungry, I notice. I had been too busy pushing the van to realise until now.	game/script.rpy	59
introduction_928eef8b	player	"Yeah, actually. We didn’t get a chance to grab breakfast."	game/script.rpy	60
introduction_41085321		Norman scans the street slowly, frowning.	game/script.rpy	61
introduction_f8be2a4c	n	"I’ll see if I can find somewhere we can get some food."	game/script.rpy	62
introduction_b085e7cc		He furrows his brow and glances toward the van.	game/script.rpy	63
introduction_a7e01a2b	n	"I don't understand anything about what happened... The engine was perfect."	game/script.rpy	64
introduction_e8b24e6b		He shakes the worry from his face and gives me a small smile, his eyes sparkling.	game/script.rpy	65
introduction_ce254173	n	"How about you see the mechanic about it. I'll find us some food."	game/script.rpy	66
introduction_dc22bddf		Before disappearing, he waves over his shoulder and shouts.	game/script.rpy	67
introduction_ca851ec3	n	"I’ll try to find a local map too!"	game/script.rpy	68
introduction_fca57001		With that, he’s gone, and I’m left alone.	game/script.rpy	71
introduction_95263388		The air inside the garage is thick with the smell of oil. It’s almost hard to breathe.	game/script.rpy	74
introduction_23f9e026		I hear music from a cassette player on one of the many shelves that line the walls. The only other noise is that of the mechanic himself at work underneath a jacked up car.	game/script.rpy	75
introduction_49246eac		All I can see of him are his legs, and occasionally his hand reaching for a new tool. He hums to the chorus of the song playing.	game/script.rpy	76
introduction_a344caad		He pushes himself out from underneath the car and sits up to wipe his forehead, still tapping his foot to the music. He notices me standing there, and stands to greet me with a smile on his face.	game/script.rpy	77
introduction_66584da2		His hair is short, messy and slick with motor oil. From the various patches sewn clumsily onto his jumpsuit, it’s clear that he’s a fan of science fiction.	game/script.rpy	80
introduction_4597ecad		He cleans off his glasses and leans against the car, still smiling at me.	game/script.rpy	81
introduction_43bdb503	m	"Hey, I’m Mike. How can I help you?"	game/script.rpy	82
introduction_0bccc6f8	player	"My friend and I actually had our van break down outside of town…"	game/script.rpy	83
introduction_34dd3a1b		I hesitate. How do I even explain something like this?	game/script.rpy	84
introduction_31dce6fc	player	"We have a... uh... Strange problem."	game/script.rpy	85
introduction_81e66694		Mike chuckles and gestures to the door behind me.	game/script.rpy	86
introduction_b16f77ef	m	"Alright? Let's go see what the problem is."	game/script.rpy	87
introduction_91f352c0		Mike follows me out to the van, whistling the tune from his cassette player.	game/script.rpy	92
introduction_740de8c9	m	"Let's see your strange problem then."	game/script.rpy	95
introduction_63c52259		I open the driver-side door and pop the hood.	game/script.rpy	96
introduction_7b6b89e5	m	"... Um."	game/script.rpy	97
introduction_ab4e69cc		He stares at the overgrown engine in bewilderment, unable to comprehend what he sees.	game/script.rpy	98
introduction_c5c3a3e0		No longer disoriented from the grogginess of just waking up, I take my own first good look at it.	game/script.rpy	99
introduction_610b3391	m	"... What am I looking at here?"	game/script.rpy	100
introduction_f96bffdb	player	"Uhh... I have no idea. It just appeared."	game/script.rpy	101
introduction_32ac9c96	m	"That... Huh. Okay?"	game/script.rpy	102
introduction_337eb6be	m	"I guess I can see how bad the damage is and remove as much as I can. This isn't going to be a quick job though."	game/script.rpy	103
introduction_5972a268	player	"Yeah, I figured..."	game/script.rpy	104
introduction_2525d7b5		Mike closes the hood and flashes me a smile.	game/script.rpy	105
introduction_298161be	m	"Well. I'll try to clear this out. I reckon it'll take a few days but I'll try."	game/script.rpy	106
introduction_50cc7ea6	m	"There's a motel right across the street if you're looking for a place to stay. The owners are good friends of mine."	game/script.rpy	107
introduction_466c84df	player	"I guess I'll go check it out. Thanks Mike."	game/script.rpy	108
introduction_91fdfd61		The motel lobby is way too brightly lit. The decoration in here is tacky, and it’s clear they don’t get a lot of business.	game/script.rpy	113
introduction_2bd142ab		Behind the front desk sits a woman with brown hair and light eyes who doesn’t look like she wants to be there at all.	game/script.rpy	114
introduction_a5875f31		She’s flipping through a magazine absentmindedly. I don’t think she’s even noticed I’m here yet.	game/script.rpy	115
introduction_cba92646	unknown	"... Can I help you?"	game/script.rpy	118
introduction_c5473c38		Yes she has.	game/script.rpy	119
introduction_c537d573	player	"Uh. I'm looking for a room."	game/script.rpy	120
introduction_e85ce3f2		The woman closes her magazine and tosses it onto the counter in front of her. She opens a drawer and rummages in it for a second before pulling out a ledger and opening it, turning it to face me.	game/script.rpy	121
introduction_84a93106	unknown	"Our rates are listed here. Sign here and I'll get you a key."	game/script.rpy	122
introduction_2c9e9ae1		I get a room with two beds. The woman hands me a key and picks up her magazine again.	game/script.rpy	123
introduction_8b35b53c	l	"Thanks. I'm Liz. If you need anything I'm usually here. If not, my brother runs the gift store next door."	game/script.rpy	124
introduction_ca3cf930		When I turn to leave, I find myself bumping into someone on their way in.	game/script.rpy	131
introduction_83ac6531	unknown	"‘scuse me."	game/script.rpy	134
introduction_8da976f9		The man in front of me has dark, curly hair and a scratchy shadow of stubble on his face.	game/script.rpy	135
introduction_f0fff35f		He looks at me with tired eyes and nurses the coffee cup in his hand.	game/script.rpy	136
introduction_acdf4eeb	unknown	"New in town, huh? Me too."	game/script.rpy	137
introduction_9be56811	k	"Detective Kessler. Have you heard the stories about this place?"	game/script.rpy	138
introduction_9dba250b		He seems to notice my lack of recognition and continues.	game/script.rpy	139
introduction_27bd8834	k	"Locals think there’s some kind of monster breaking everything in town. It’s probably just some kid but you know how small communities are."	game/script.rpy	140
introduction_499cdc40		That’s when I notice a small face peek out from behind him.	game/script.rpy	141
